Datetime,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Anomaly
2017-05-16 00:00:00,66,6,4,7,6,2,4,3,2,2,1,9,4,1,6,1,1,6,1,1,0,0,0,0,0,0
2017-05-16 00:01:00,54,0,2,5,4,1,2,3,1,2,1,3,5,2,6,2,2,12,2,0,4,1,0,0,0,1
2017-05-16 00:02:00,63,0,4,7,6,2,3,3,2,2,1,0,3,1,10,1,1,6,1,0,2,1,0,0,0,1
2017-05-16 00:03:00,57,0,2,7,6,1,3,3,1,2,1,6,6,2,6,2,2,12,2,0,4,0,0,0,0,1
2017-05-16 00:04:00,70,0,3,7,6,2,2,2,1,2,1,0,3,1,7,1,1,6,1,0,2,1,1,0,0,1
2017-05-16 00:05:00,57,0,3,6,5,1,4,4,2,2,1,7,4,2,8,2,1,6,1,0,4,1,0,0,0,1
2017-05-16 00:06:00,67,0,3,6,5,1,2,2,1,2,1,2,5,1,7,1,2,12,2,0,2,0,0,0,0,0
2017-05-16 00:07:00,66,0,2,7,6,2,4,4,2,2,1,17,4,2,8,2,1,6,1,0,4,0,1,0,0,1
2017-05-16 00:08:00,59,0,2,5,4,1,2,2,1,2,1,1,5,1,5,1,2,12,2,0,2,0,0,0,0,0
2017-05-16 00:09:00,69,0,4,9,8,2,4,4,2,2,1,14,4,2,9,1,1,6,1,0,4,1,1,1,1,1
2017-05-16 00:10:00,56,0,2,4,3,1,2,2,1,2,1,4,5,1,6,2,2,12,2,0,2,0,0,0,0,0
2017-05-16 00:11:00,63,0,3,8,7,2,3,3,2,2,1,4,3,1,9,1,1,6,1,0,2,1,1,0,0,1
2017-05-16 00:12:00,59,0,2,6,5,1,3,3,1,2,1,12,6,2,6,2,2,12,2,0,4,1,0,0,0,1
2017-05-16 00:13:00,68,0,4,6,5,2,3,3,2,2,1,4,3,1,9,1,1,6,1,0,2,1,1,0,0,0
2017-05-16 00:14:00,54,0,2,7,6,1,3,2,1,2,1,6,4,1,5,1,1,6,1,0,2,1,0,0,0,1
