Datetime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,Anomaly
2017-05-14 19:00:00,1312,91,31,1,6,58,139,119,193,30,60,60,30,1,112,30,30,149,30,180,40,20,58,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14 20:00:00,3725,260,86,1,0,170,396,337,575,87,174,174,87,1,374,87,87,456,87,522,118,59,174,8,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14 21:00:00,3534,238,80,2,0,155,366,310,538,79,159,159,80,2,359,79,79,413,79,474,112,56,158,14,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 00:00:00,3746,261,87,3,0,166,394,335,601,87,174,174,87,3,306,87,87,447,87,522,118,59,174,18,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 01:00:00,3763,259,86,3,0,166,396,337,601,87,174,174,87,4,434,87,86,445,86,516,118,59,174,18,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 02:00:00,3755,260,87,2,0,166,392,333,599,86,172,172,86,4,408,86,87,445,87,522,118,59,172,15,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 03:00:00,3776,259,86,3,0,168,398,339,592,87,174,174,87,3,398,87,87,446,86,516,118,59,174,18,41,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2017-05-16 04:00:00,3757,260,87,2,0,166,392,333,599,86,172,172,86,2,392,86,86,449,87,522,118,59,172,11,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 05:00:00,3759,259,86,1,0,163,392,333,589,87,174,174,87,2,418,87,87,441,86,516,118,59,174,23,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 06:00:00,1562,110,37,0,0,64,163,139,243,36,72,72,36,0,150,36,36,186,37,222,48,24,72,6,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
